scope,metric,mean,std,min,max,median
inner_train,balanced_accuracy,0.719292509375322,0.006040350712776597,0.705338751821214,0.7302419374907183,0.7188583205898527
inner_train,precision,0.4486109051913699,0.013524665142724792,0.419817377769102,0.486123820648948,0.45166865278761836
inner_train,recall,0.5910054580896685,0.014642922594727376,0.5599999999999999,0.6192280701754387,0.5949239766081871
inner_train,f1,0.503878531258122,0.009359779441600569,0.4834456838752862,0.5276360831304977,0.5036771762254325
inner_train,pr_auc,0.625915407596894,0.0043117499663328715,0.6147635620693603,0.6336633265406063,0.6252539027367651
inner_validation,balanced_accuracy,0.6309350241545894,0.015146314038254659,0.5840652173913045,0.6669275362318839,0.6293188405797102
inner_validation,precision,0.3410907666407666,0.03209809897197247,0.2768867243867244,0.40642135642135635,0.336962481962482
inner_validation,recall,0.4534666666666666,0.024045550643458476,0.384,0.524,0.45199999999999996
inner_validation,f1,0.3664364392172441,0.021924407226185962,0.3206933066933067,0.41538185997009525,0.36532802491626015
inner_validation,pr_auc,0.5128482816580948,0.018428615690286268,0.46286561586053576,0.5447628970506767,0.5144262237123911
outer_test,balanced_accuracy,0.6540919540229884,0.026058112817714908,0.5948275862068966,0.6986206896551723,0.6552873563218391
outer_test,precision,0.38942581655816955,0.05956424811216709,0.2743001443001443,0.55,0.38088744588744583
outer_test,recall,0.47333333333333333,0.039226232523754616,0.3666666666666666,0.5266666666666666,0.48
outer_test,f1,0.40799299528637256,0.04039473329550263,0.33086834733893555,0.4948717948717949,0.40864830731703794
outer_test,pr_auc,0.5203240526007629,0.032608576336645295,0.4605920580067111,0.5716400797549156,0.5216095675197768
