scope,metric,mean,std,min,max,median
inner_train,balanced_accuracy,0.8537206982223345,0.032981496234112485,0.774951851718062,0.9069673044427586,0.8616251148920115
inner_train,precision,0.8641603190336533,0.041238363509515,0.7738627036877811,0.9220621160745,0.8751953447309484
inner_train,recall,0.730977777777778,0.06038462461013024,0.586093567251462,0.8283625730994153,0.7507251461988305
inner_train,f1,0.7857374868167875,0.05249178049502039,0.6606116021998375,0.8698677681125997,0.787631106723538
inner_train,pr_auc,0.9043632134443177,0.03710762904102166,0.8197663353206142,0.9700919838154618,0.9073222180236579
inner_validation,balanced_accuracy,0.6481425120772947,0.011426424151878934,0.6314782608695653,0.6794710144927536,0.6475471014492753
inner_validation,precision,0.5875031746031746,0.07264084001887502,0.42214285714285715,0.7386666666666667,0.585
inner_validation,recall,0.3479999999999999,0.02228962956639022,0.30999999999999994,0.398,0.346
inner_validation,f1,0.4100612572612573,0.028154745924394244,0.3542721722721723,0.4694285714285714,0.410023865023865
inner_validation,pr_auc,0.5249251569129142,0.016813120914033503,0.48922908790929387,0.560118724551516,0.5221111042011835
outer_test,balanced_accuracy,0.6487164750957854,0.018156581292058705,0.6028735632183908,0.679655172413793,0.6528735632183909
outer_test,precision,0.6216296296296294,0.06368807228720638,0.46428571428571425,0.7416666666666666,0.6183333333333333
outer_test,recall,0.3515555555555555,0.03680468624723412,0.2733333333333333,0.4133333333333334,0.3566666666666667
outer_test,f1,0.4179754504754504,0.03991882059555237,0.3221778221778222,0.4766666666666667,0.42080808080808074
outer_test,pr_auc,0.5008805086349208,0.02629465103839354,0.44276642538186123,0.5584125255537936,0.5028406842234509
