scope,metric,mean,std,min,max,median
inner_train,balanced_accuracy,0.8670853318188326,0.021118362946986702,0.8236890109052085,0.9106263410757505,0.8685285453968942
inner_train,precision,0.8150966383803204,0.04538470657568354,0.6920467678607727,0.8960854230049277,0.8158754838325104
inner_train,recall,0.7731559454191033,0.035711808029041274,0.7038362573099415,0.848877192982456,0.7748070175438597
inner_train,f1,0.786689445632669,0.036953279000035553,0.7011539707014747,0.8567015818391509,0.7870511656006893
inner_train,pr_auc,0.893003533085852,0.02957744476196708,0.8273118188102646,0.9476155452418993,0.8928620178711176
inner_validation,balanced_accuracy,0.630100966183575,0.016068004708513953,0.5890217391304349,0.6537173913043477,0.6303405797101449
inner_validation,precision,0.5020352573352572,0.06990152159328067,0.30933333333333335,0.6426666666666667,0.5078095238095237
inner_validation,recall,0.3370666666666666,0.02946761323699389,0.27,0.394,0.33999999999999997
inner_validation,f1,0.37377414067414066,0.032323628448162,0.27348229548229547,0.4196190476190476,0.38204362304362305
inner_validation,pr_auc,0.5175180100784563,0.01959317144092081,0.47000037382961735,0.5675577606591471,0.5176749031525114
outer_test,balanced_accuracy,0.6314521072796935,0.01849015680770259,0.5755172413793104,0.6595402298850576,0.6355747126436782
outer_test,precision,0.5033576238576238,0.10006912054988336,0.31999999999999995,0.725,0.5192207792207792
outer_test,recall,0.33977777777777773,0.033055547506357884,0.24,0.3866666666666666,0.3466666666666667
outer_test,f1,0.37409930156988985,0.039323471027528846,0.2675990675990676,0.43888888888888894,0.3793825618825619
outer_test,pr_auc,0.483484426936834,0.033874939971073735,0.4132957027511107,0.5403134221179762,0.48685090798199354
